Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ABHD2|11057	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14758701334795	1.03551963495443	NA	1.12765759145855	NA	NA	1.11559301068558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD3|171586	1	-1.07382600236786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD6|57406	2	NA	NA	NA	NA	2.19831303477276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2423660406953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABI3BP|25890	19	2.24509402821448	1.32351393148756	NA	2.16630773426748	NA	2.17699268090014	NA	3.49161466622424	NA	2.54948082977031	NA	NA	NA	NA	1.6169124623554	NA	1.56145674272	1.92924951279993	NA	1.42697532185685	1.91787371745734	NA	NA	2.08972277896344	NA	1.47776618298533	3.79129730325469	1.22893246000772	1.03320259867678	1.30734615680547	1.66449927425922	NA	2.3084966889889
ABLIM1|3983	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26472624848475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLIM2|84448	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.08866838560534	NA	NA	NA	NA	NA	-1.01882062493737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABLIM3|22885	4	1.16454498646279	NA	1.13152634756887	NA	NA	1.29776066398307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43976221457735	NA	NA	NA
ABO|28	5	1.56598889931138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.46054281525685	NA	NA	1.49459913354387	1.00585178733478	NA	NA	1.09979088868058	NA	NA	NA	NA	NA	NA	NA
ABP1|26	9	2.22140932861364	NA	-1.49783136743795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.53951025286746	NA	1.2401650697682	NA	-2.09029135749778	-1.15744612143327	4.58986731780663	NA	NA	-1.55229996517313	NA	NA	NA	NA	NA	-1.15684933360329	NA	NA
ABR|29	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.23531498653088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
