gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
NUDT16	274681	843	20	124400	31920	0	0	0	0	50	1	2876400	1	1
NUDT16L1	717235	194	35	82800	20560	0	0	0	0	50	1	2628880	1	1
NUDT17	NaN	NaN	NaN	130000	33360	0	0	0	0	50	4	4529120	1	1
NUDT18	584373	219	34	125520	31600	0	0	0	0	50	0	2471200	1	1
NUDT19	420201	410	-36	146560	35200	0	0	0	0	50	2	2137440	1	1
NUDT2	478815	302	38	61680	10640	0	0	0	0	50	1	1968240	1	1
NUDT21	504003	442	5	96000	17280	0	0	0	0	50	0	2326320	1	1
NUDT22	1602391	278	57	118560	30880	0	0	0	0	50	1	2453760	1	1
NUDT3	983693	233	31	72240	13360	0	0	0	0	50	2	2217280	1	1
NUDT4	416655	419	18	75440	14480	0	0	0	0	50	1	2144080	1	1
NUDT5	328303	227	34	94400	16960	0	0	0	0	50	3	2015760	1	1
NUDT6	126682	414	19	127760	27280	0	0	0	0	50	1	2394320	1	1
NUDT7	79181	1194	-24	98080	18880	0	0	0	0	50	0	2366400	1	1
NUDT8	1374022	393	53	53040	16240	0	0	0	0	50	1	2566800	1	1
NUDT9	530607	537	23	146400	26560	0	0	0	0	50	2	2011760	1	1
NUF2	130027	852	-9	204560	26960	0	0	0	0	50	1	3123680	1	1
NUFIP1	685617	360	32	209360	34800	0	0	0	0	50	2	2772080	1	1
NUMA1	747702	311	59	861040	170640	0	0	0	0	1	0	187760	1	1
NUMB	567659	180	41	261440	57920	0	0	0	0	50	1	2372960	1	1
NUMBL	918439	226	34	237680	60880	0	0	0	0	50	3	2327040	1	1
NUP107	486884	294	31	395680	66080	0	0	0	0	50	1	2013360	1	1
NUP133	249616	277	25	482400	89280	0	0	0	0	50	0	2390560	1	1
NUP153	474858	267	12	589360	132560	0	0	0	0	50	0	2652880	1	1
NUP155	339666	151	25	582320	108240	0	0	0	0	50	1	3038880	1	1
NUP160	931839	158	14	601440	111040	0	0	0	0	50	1	2608720	1	1
NUP188	1517799	203	29	721440	146400	0	0	0	0	16	1	855040	1	1
NUP205	521421	326	14	837200	156240	0	0	0	0	50	0	2311840	1	1
NUP210L	2028800	184	37	772960	159040	0	0	0	0	50	1	2263120	1	1
NUP214	759063	213	46	821200	204880	0	0	0	0	42	1	2154880	1	1
NUP35	349831	524	11	134000	28240	0	0	0	0	50	2	2089840	1	1
NUP37	232146	467	9	138240	24160	0	0	0	0	50	2	2350640	1	1
NUP43	425807	234	39	157920	29760	0	0	0	0	50	0	1996720	1	1
NUP50	395347	362	-13	193440	36160	0	0	0	0	50	1	2166720	1	1
NUP54	525212	403	38	210960	39920	0	0	0	0	50	1	2327200	1	1
NUP62	1679101	205	45	198320	53360	0	0	1	0	25	1	1332720	1	1
NUP62CL	227679	NaN	32	79040	14240	0	0	0	0	50	1	2327520	1	1
NUP85	1723762	171	31	276320	50880	0	0	0	0	50	0	2263520	1	1
NUP88	1179795	474	24	310320	56400	0	0	0	0	50	3	2347280	1	1
NUP93	706254	143	26	343120	63920	0	0	0	0	50	0	2372320	1	1
NUP98	449630	310	25	743440	152720	0	0	0	0	50	1	1662080	1	1
NUPL1	331109	381	37	241040	56560	0	0	0	0	50	0	2327200	1	1
NUPL2	509506	218	23	172160	35200	0	0	0	0	50	0	1992000	1	1
NUPR1	1133167	269	63	40080	9680	0	0	0	0	50	0	2433120	1	1
NUS1	190019	639	3	120160	23520	0	0	0	0	50	0	2305360	1	1
NUSAP1	897414	237	24	185120	33440	0	0	0	0	50	1	1752480	1	1
NUTF2	959655	143	49	56640	7360	0	0	0	0	43	3	2066720	1	1
NVL	626336	139	16	357040	68720	0	0	0	0	50	2	2168000	1	1
NXF1	2405109	248	44	268080	50800	0	0	0	0	50	3	2344640	1	1
NXF2	NaN	NaN	NaN	543520	85280	0	0	0	0	50	4	4581040	1	1
NXF2B	95507	NaN	6	543520	85280	0	0	0	0	50	1	2172640	1	1
NXF3	456169	NaN	16	231280	36560	0	0	0	0	50	1	2051280	1	1
NXF5	272029	NaN	23	159280	24880	0	0	0	0	50	1	2682960	1	1
NXN	941400	376	15	174560	39520	0	0	0	0	50	1	1903200	1	1
NXNL1	899127	211	26	84080	19120	0	0	0	0	50	0	2085600	1	1
NXNL2	130577	438	1	76320	17440	0	0	0	0	50	0	2110400	1	1
NXPH1	85530	915	-11	111840	19360	0	0	0	0	50	1	3410240	1	1
NXPH2	69057	672	-4	107280	20560	0	0	0	0	50	0	2356960	1	1
NXPH3	1007676	348	26	100480	21600	0	0	1	0	9	1	293200	1	1
NXPH4	2162032	238	58	118080	30880	0	0	0	0	50	0	2810240	1	1
NXT1	188823	688	-22	57760	10560	0	0	0	0	50	1	3029680	1	1
NXT2	133688	NaN	30	83840	14080	0	0	0	0	50	1	2837520	1	1
NYNRIN	897133	265	40	742240	174400	0	0	0	0	50	2	2995600	1	1
NYX	590228	NaN	54	179120	52880	0	0	1	0	50	4	2185280	1	1
OAF	323731	198	31	109520	23920	0	0	1	0	16	3	898800	1	1
OAS1	621550	527	22	192880	34000	0	0	0	0	50	4	2236960	1	1
OAS2	605960	433	54	311360	53760	0	0	0	0	50	2	2803760	1	1
OAS3	613755	433	38	439200	92960	0	0	0	0	50	1	3055840	1	1
OASL	1225663	380	40	213520	37200	0	0	0	0	50	0	2064080	1	1
OAT	280862	543	16	180560	36400	0	0	0	0	50	1	2738640	1	1
OAZ1	1603571	240	27	93200	19760	0	0	0	0	50	2	2603280	1	1
OAZ2	847146	269	42	78480	15440	0	0	0	0	50	1	3047840	1	1
OAZ3	1062482	255	29	114240	23840	0	0	0	0	50	1	2631440	1	1
OBFC1	529915	300	29	157520	25360	0	0	0	0	50	1	2093360	1	1
OBFC2A	160466	461	20	85520	16080	0	0	0	0	50	1	2092320	1	1
OBFC2B	2878071	171	46	86720	18880	0	0	0	0	50	1	2825120	1	1
OBP2A	327501	539	37	73040	13040	0	0	0	0	50	2	2068800	1	1
OBP2B	1875784	397	51	73520	12560	0	0	0	0	50	2	2161920	1	1
OC90	100916	999	6	198960	38800	0	0	0	0	50	1	2638080	1	1
OCA2	154909	1141	-61	340080	77360	0	0	0	0	50	0	1694480	1	1
OCEL1	865138	212	38	106720	24000	0	0	0	0	50	2	2213360	1	1
OCIAD1	257328	372	63	111280	18000	0	0	0	0	50	0	2298080	1	1
OCIAD2	256817	372	61	68080	10480	0	0	0	0	50	0	2283360	1	1
OCLM	277882	399	-14	18800	2800	0	0	0	0	12	0	345600	1	1
OCM	2208864	358	32	47840	7200	0	0	0	0	50	2	2469120	1	1
OCM2	451365	522	25	47600	7120	0	0	0	0	17	0	714720	1	1
OCRL	330789	NaN	22	384240	63440	0	0	0	0	50	1	2744560	1	1
