SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-ED-A627-01	TCGA-ED-A627	7.5122	9.3237	2.8758	5.996
TCGA-N6-A4VC-01	TCGA-N6-A4VC	3.1454	7.8854	2.7093	4.2483
TCGA-39-5028-01	TCGA-39-5028	3.4048	5.7649	3.7999	4.606
TCGA-C8-A3M8-01	TCGA-C8-A3M8	9.0943	14.5475	2.9879	5.8924
TCGA-BJ-A0ZF-01	TCGA-BJ-A0ZF	3.9956	7.2588	3.1081	4.4277
TCGA-BH-A0BM-01	TCGA-BH-A0BM	8.4276	12.6548	4.2833	8.2518
TCGA-AB-2914-03	TCGA-AB-2914	8.4477	2.8776	5.5392	0.0
TCGA-AB-2818-03	TCGA-AB-2818	0.0	2.0541	3.9249	0.0
TCGA-MR-A8JO-01	TCGA-MR-A8JO	6.1763	5.2257	3.7158	5.8366
TCGA-AY-A69D-01	TCGA-AY-A69D	2.6616	2.7403	3.9599	4.0859
TCGA-AN-A0XW-01	TCGA-AN-A0XW	9.2403	11.9175	3.6634	10.6828
TCGA-55-A4DG-01	TCGA-55-A4DG	3.317	9.9793	5.2042	5.7899
TCGA-RW-A684-01	TCGA-RW-A684	0.5899	2.1813	2.7128	3.1004
TCGA-ET-A2N4-01	TCGA-ET-A2N4	4.536	8.8941	2.0781	4.6432
TCGA-BJ-A28X-11	TCGA-BJ-A28X	6.6898	7.8606	5.69	6.3304
TCGA-DX-AB2Q-01	TCGA-DX-AB2Q	2.5032	3.7908	3.7908	4.1796
TCGA-CV-7091-11	TCGA-CV-7091	8.1045	8.3297	3.0165	8.7626
TCGA-EE-A3AB-06	TCGA-EE-A3AB	2.1075	4.4926	3.6534	0.6338
TCGA-DD-A11B-11	TCGA-DD-A11B	9.9843	10.2348	2.6549	4.6347
TCGA-06-2561-01	TCGA-06-2561	6.2141	4.921	5.2116	4.2922
TCGA-EJ-7125-11	TCGA-EJ-7125	8.8227	6.0309	2.5318	7.7189
TCGA-WC-A88A-01	TCGA-WC-A88A	1.5189	1.8022	2.8518	2.2422
TCGA-ZG-A9M4-01	TCGA-ZG-A9M4	9.6626	9.1869	3.9956	6.4335
TCGA-ZJ-A8QQ-01	TCGA-ZJ-A8QQ	0.0	7.7459	5.698	2.5328
TCGA-37-4133-01	TCGA-37-4133	5.4115	3.7748	3.3487	4.0661
TCGA-77-8146-01	TCGA-77-8146	6.2965	7.2506	4.0633	3.9759
TCGA-RL-AAAS-01	TCGA-RL-AAAS	3.1761	6.9819	4.2646	6.9676
TCGA-2G-AAHN-01	TCGA-2G-AAHN	1.4355	5.5555	4.1276	2.4715
TCGA-L9-A5IP-01	TCGA-L9-A5IP	2.8349	8.0842	3.4697	2.5411
TCGA-CJ-5672-01	TCGA-CJ-5672	6.7908	7.3741	2.4435	8.3835
TCGA-73-4662-01	TCGA-73-4662	3.5297	10.1167	3.7963	5.4866
TCGA-55-7281-01	TCGA-55-7281	2.6155	10.6883	1.7133	5.2054
TCGA-CQ-5327-01	TCGA-CQ-5327	0.5662	5.6165	2.4129	3.5914
TCGA-E2-A1LL-01	TCGA-E2-A1LL	5.4841	8.6788	4.7806	7.3055
TCGA-FD-A3SR-01	TCGA-FD-A3SR	5.9622	5.015	3.7864	6.1077
TCGA-KK-A8II-01	TCGA-KK-A8II	9.5302	5.9186	4.1536	5.0978
TCGA-B0-4700-11	TCGA-B0-4700	7.1918	8.3969	4.6441	8.6313
TCGA-BH-A0BQ-11	TCGA-BH-A0BQ	9.2083	11.0481	4.2927	11.8663
TCGA-BH-A28O-01	TCGA-BH-A28O	8.5843	10.5651	4.1027	9.0243
TCGA-XV-AAZW-01	TCGA-XV-AAZW	0.0	4.6133	5.9103	0.5375
TCGA-F2-7276-01	TCGA-F2-7276	6.814	6.4104	4.4659	7.6955
TCGA-BJ-A0Z2-01	TCGA-BJ-A0Z2	6.2311	5.7606	3.5176	2.9358
TCGA-DK-A6B0-01	TCGA-DK-A6B0	4.7317	2.13	3.6529	0.9745
TCGA-97-7553-01	TCGA-97-7553	5.4839	6.7629	3.6563	6.8986
TCGA-ET-A2N0-01	TCGA-ET-A2N0	0.9652	7.9797	2.9386	6.3348
TCGA-34-7107-11	TCGA-34-7107	6.1921	7.0191	5.062	8.0282
TCGA-BJ-A290-11	TCGA-BJ-A290	7.7768	8.9702	3.313	6.4197
TCGA-FB-A7DR-01	TCGA-FB-A7DR	5.4248	5.0005	3.203	8.2807
TCGA-YB-A89D-01	TCGA-YB-A89D	5.498	6.7806	3.0346	8.2355
TCGA-CH-5752-01	TCGA-CH-5752	11.2048	7.3008	3.4157	6.3504
TCGA-77-7142-01	TCGA-77-7142	4.9492	4.8042	4.6431	5.2302
TCGA-CR-7374-01	TCGA-CR-7374	6.389	4.5237	5.0445	3.7867
TCGA-KS-A4I1-01	TCGA-KS-A4I1	2.0615	12.1058	2.8774	3.9339
TCGA-60-2719-01	TCGA-60-2719	4.8682	3.9022	3.4997	3.3361
TCGA-VR-A8Q7-01	TCGA-VR-A8Q7	2.9896	6.6354	5.8212	5.3693
TCGA-RY-A83Z-01	TCGA-RY-A83Z	3.3971	3.4642	3.3971	2.7049
TCGA-YU-A90Y-01	TCGA-YU-A90Y	2.9126	4.7859	5.5882	2.8204
TCGA-A7-A13F-11	TCGA-A7-A13F	8.3806	9.5747	5.0588	11.0026
TCGA-ET-A2MX-11	TCGA-ET-A2MX	4.2926	8.0747	4.3187	4.7024
TCGA-FD-A5BS-01	TCGA-FD-A5BS	2.8999	6.3126	5.2801	6.0364
TCGA-85-8351-01	TCGA-85-8351	2.9336	5.0192	4.191	3.593
TCGA-J7-6720-01	TCGA-J7-6720	6.7923	5.2759	3.0373	4.7705
TCGA-E9-A24A-01	TCGA-E9-A24A	10.0831	15.0617	2.1041	12.626
TCGA-49-AARE-01	TCGA-49-AARE	1.2421	3.8278	5.3107	4.7761
TCGA-BC-4073-01	TCGA-BC-4073	3.4678	5.9072	2.3553	4.3261
TCGA-AC-A6IV-01	TCGA-AC-A6IV	8.6965	12.2721	3.7183	10.4776
TCGA-DK-A1AD-01	TCGA-DK-A1AD	8.2732	4.7493	4.2425	4.4408
TCGA-B6-A400-01	TCGA-B6-A400	2.1742	4.2595	3.5647	5.6637
TCGA-EM-A2OW-01	TCGA-EM-A2OW	4.4416	7.6793	4.4689	6.5366
TCGA-XF-AAMQ-01	TCGA-XF-AAMQ	1.5728	5.9246	4.2681	4.4903
TCGA-A8-A096-01	TCGA-A8-A096	9.978	13.9249	2.119	8.3578
TCGA-AG-3742-01	TCGA-AG-3742	1.5622	2.7781	2.4315	3.0573
TCGA-WB-A816-01	TCGA-WB-A816	3.4092	5.3188	4.6106	7.2465
TCGA-KS-A41I-11	TCGA-KS-A41I	5.1656	7.892	5.623	6.1861
TCGA-CN-4722-01	TCGA-CN-4722	5.1998	6.8326	3.0269	3.4608
TCGA-B0-5075-01	TCGA-B0-5075	5.1613	6.4931	4.9651	4.1089
TCGA-W3-AA1R-06	TCGA-W3-AA1R	0.0	3.93	4.1772	1.0484
TCGA-13-0899-01	TCGA-13-0899	3.5044	9.7988	3.4472	5.1513
TCGA-AY-A8YK-01	TCGA-AY-A8YK	1.2589	2.4967	3.5461	2.6108
TCGA-QA-A7B7-01	TCGA-QA-A7B7	7.9882	3.2876	1.9714	4.1229
TCGA-DA-A1IC-06	TCGA-DA-A1IC	2.4363	6.3151	6.0787	3.4097
TCGA-A5-AB3J-01	TCGA-A5-AB3J	8.5024	13.0016	4.5782	13.7271
TCGA-50-8460-01	TCGA-50-8460	6.4854	9.6959	4.3803	5.5113
TCGA-CV-7440-11	TCGA-CV-7440	4.98	6.3042	2.3858	3.3824
TCGA-PG-A917-01	TCGA-PG-A917	5.8007	13.8357	4.0633	13.2022
TCGA-IB-7889-01	TCGA-IB-7889	2.6682	5.5717	3.9078	6.6541
TCGA-KL-8324-11	TCGA-KL-8324	7.1401	7.8183	4.726	7.5794
TCGA-EM-A3SY-01	TCGA-EM-A3SY	3.3887	5.934	2.4675	5.8655
TCGA-FF-A7CW-01	TCGA-FF-A7CW	0.0	5.1062	6.893	0.6144
TCGA-ZG-A9L1-01	TCGA-ZG-A9L1	9.2119	9.2246	2.636	6.8053
TCGA-CN-5361-01	TCGA-CN-5361	3.5877	6.7974	3.2955	2.8425
TCGA-AB-2967-03	TCGA-AB-2967	1.7313	4.7909	5.7335	1.1111
TCGA-EX-A3L1-01	TCGA-EX-A3L1	3.0908	6.1174	4.4874	5.0589
TCGA-50-5933-01	TCGA-50-5933	3.0257	8.4194	2.022	6.0175
TCGA-FT-A3EE-01	TCGA-FT-A3EE	5.8743	5.2893	3.785	3.9106
TCGA-IE-A4EH-01	TCGA-IE-A4EH	7.2972	11.4044	2.4768	11.1256
TCGA-ZB-A96E-01	TCGA-ZB-A96E	1.2272	3.1774	4.2389	2.768
TCGA-43-3394-01	TCGA-43-3394	3.1735	4.4091	4.0251	4.4349
TCGA-ZF-AA4T-01	TCGA-ZF-AA4T	5.9481	6.2722	4.7676	0.5713
TCGA-MQ-A6BQ-01	TCGA-MQ-A6BQ	2.2933	4.9007	2.8565	3.7533
TCGA-E2-A1LH-01	TCGA-E2-A1LH	0.8252	6.5246	3.8964	4.1682
TCGA-ET-A39P-01	TCGA-ET-A39P	3.3596	7.5065	2.6199	7.2361
TCGA-78-7155-01	TCGA-78-7155	2.493	2.161	6.368	3.5844
TCGA-2G-AAM4-01	TCGA-2G-AAM4	5.4169	3.0516	5.0444	3.1861
TCGA-CJ-4899-01	TCGA-CJ-4899	7.8092	7.6522	6.0196	7.6695
TCGA-E7-A3X6-01	TCGA-E7-A3X6	1.8225	6.6059	2.4986	1.9854
TCGA-5M-AAT4-01	TCGA-5M-AAT4	0.8958	2.6237	2.9791	3.3271
TCGA-EL-A4K7-01	TCGA-EL-A4K7	1.4731	5.1188	2.6619	5.854
TCGA-EL-A3ZK-11	TCGA-EL-A3ZK	6.7054	7.7479	4.5559	4.9985
TCGA-24-1474-01	TCGA-24-1474	6.3406	11.1065	2.9952	3.4198
TCGA-3H-AB3U-01	TCGA-3H-AB3U	6.5685	4.7202	7.3563	4.8448
TCGA-CM-6167-01	TCGA-CM-6167	4.7812	5.2912	3.8854	7.7978
TCGA-14-0736-02	TCGA-14-0736	3.3247	4.4123	2.9569	2.7305
