SampleID	bcr_patient_barcode	AR	ESR1	ESR2	PGR
TCGA-24-1563-01	TCGA-24-1563	6.95	11.55	3.88	4.68
TCGA-24-1564-01	TCGA-24-1564	4.45	10.89	3.48	4.94
TCGA-24-1567-01	TCGA-24-1567	7.43	10.99	5.27	9.92
TCGA-24-1603-01	TCGA-24-1603	8.76	11.69	3.85	4.04
TCGA-24-1604-01	TCGA-24-1604	8.54	11.74	4.57	9.33
TCGA-24-1616-01	TCGA-24-1616	9.91	11.91	3.5	8.32
TCGA-24-1842-01	TCGA-24-1842	7.63	11.11	3.95	3.11
TCGA-24-1843-01	TCGA-24-1843	4.4	12.92	3.64	4.14
TCGA-24-1844-01	TCGA-24-1844	7.34	11.88	6.08	9.4
TCGA-24-1846-01	TCGA-24-1846	7.47	10.93	5.23	9.83
TCGA-24-1847-01	TCGA-24-1847	5.93	10.21	6.13	8.84
TCGA-24-1849-01	TCGA-24-1849	6.85	10.89	4.71	5.23
TCGA-24-1850-01	TCGA-24-1850	5.33	11	4.57	3.42
TCGA-24-1924-01	TCGA-24-1924	7.89	12.06	3.38	5.47
TCGA-24-1928-01	TCGA-24-1928	5.08	12.02	5.27	3.11
TCGA-24-1930-01	TCGA-24-1930	4.17	11.83	3.37	3.41
TCGA-24-2019-01	TCGA-24-2019	6.21	10.77	6.49	6.32
TCGA-24-2020-01	TCGA-24-2020	4.87	4.74	5.39	1.08
TCGA-24-2023-01	TCGA-24-2023	7.19	12.02	5.46	7.46
TCGA-24-2024-01	TCGA-24-2024	8.41	12.41	3.2	4.09
TCGA-24-2026-01	TCGA-24-2026	7.3	12.03	4.23	6.27
TCGA-24-2027-01	TCGA-24-2027	5.05	8.82	6.68	10.78
